P_CBPID,P_AUID,P_Samkey
677426203,173692076,2330000517185
677426415,173692076,2330000517185
677426450,173692076,2330000517185
677426572,172632854,2330000764870
677426540,173692076,2330000517185
677426591,2050344105,2330001282624
677426644,173692076,2330000517185
677426750,173692076,2330000517185
677426790,173622612,2330000085710
677426852,173692076,2330000517185
677426875,173692076,2330000517185
677426935,172261255,2330000040155
677427112,173692076,2330000517185
677427130,173692076,2330000517185
677427134,173692076,2330000517185
677427159,173692076,2330000517185
677427194,173692076,2330000517185
677427222,172705245,2330000342825
677427345,173692076,2330000517185
677427365,173692076,2330000517185
677427367,172501204,2330000461956
677427371,2020157211,2330000681819
677427403,173692076,2330000517185
677427454,173692076,2330000517185
677427536,173692076,2330000517185
677427665,173692076,2330000517185
677427701,173207901,2330000303648
677427895,2042884713,2330001134236
677427980,181491270,2330000393219
677428070,173692076,2330000517185
677428115,178716300,2330000125385
677428456,179453595,2330000654374
677428581,176489021,2330000645467
677428668,2021401458,2330000333076
677428708,176545074,2330000563595
677426290,173692076,2330000517185
677426368,172869841,2330000758474
677426385,2008244185,2330000920422
677426457,173692076,2330000517185
677426506,2037807554,2330000415813
677426665,173692076,2330000517185
677426727,174038529,2330000169088
677426784,2039621267,2330001077104
677426793,173692076,2330000517185
677426845,173692076,2330000517185
677426851,173692076,2330000517185
677426854,2037815168,2330000558225
677426966,2042968651,2330001223245
677426987,2022070915,2330001022701
677427022,2021401458,2330000333076
677427105,173692076,2330000517185
677427161,173692076,2330000517185
677427230,173661703,2330000728628
677427283,173692076,2330000517185
677427284,173692076,2330000517185
677427483,2020565402,2330000776097
677427542,2021867169,2330000684786
677427567,173692076,2330000517185
677427593,2045336040,2330001362908
677427722,173692076,2330000517185
677427778,173692076,2330000517185
677427853,172073213,2330000292986
677427892,173692076,2330000517185
677427976,173692076,2330000517185
677428234,175631690,2330000487499
677428411,2010588782,2330000864537
677428538,173692076,2330000517185
677428885,173692076,2330000517185
677426360,173692076,2330000517185
677426476,173692076,2330000517185
677426505,2021624902,2330000133351
677426680,173692076,2330000517185
677426734,174048186,2330000257715
677426794,176586944,2330000671486
677426874,174528213,2330000664155
677426882,173692076,2330000517185
677426957,173692076,2330000517185
677426963,173692076,2330000517185
677427043,172722022,2330000535986
677427073,173692076,2330000517185
677427081,173692076,2330000517185
677427108,173692076,2330000517185
677427136,173692076,2330000517185
677427164,173692076,2330000517185
677427313,173692076,2330000517185
677427315,173692076,2330000517185
677427336,2009296134,2330000760146
677427344,173692076,2330000517185
677427392,175023316,2330000323541
677427400,173692076,2330000517185
677427428,172888521,2330000697830
677427466,2039468850,2330001122940
677427484,173692076,2330000517185
677427489,174669451,2330000514044
677427566,173692076,2330000517185
677427595,176909148,2330000174045
677427603,173692076,2330000517185
677427622,174823435,2330000184048
677427697,175467803,2330000719045
677427735,2042783355,2330001173961
677427806,173692076,2330000517185
677427810,2012918008,2330000630325
677427938,173692076,2330000517185
677428024,173692076,2330000517185
677428105,173692076,2330000517185
677428107,172888521,2330000697830
677428406,175851365,2330000701380
677429009,2022070915,2330001022701
677429052,173692076,2330000517185
677426200,172894565,2330000240305
677426340,176586944,2330000671486
677426361,173692076,2330000517185
677426365,173692076,2330000517185
677426386,2021867169,2330000684786
677426388,173692076,2330000517185
677426453,173076622,2330000354650
677426648,173692076,2330000517185
677426674,178057261,2330000765920
677426735,174963939,2330000697601
677426754,173692076,2330000517185
677426870,173940784,2330000170111
677426911,2035703102,2330001018480
677426927,173692076,2330000517185
677426933,173692076,2330000517185
677426970,173692076,2330000517185
677426984,173692076,2330000517185
677427044,173692076,2330000517185
677427085,175454083,2330000130709
677427243,172397468,2330000622007
677427170,183490721,2330000224989
677427227,2037759899,2330001071795
677427456,173692076,2330000517185
677427463,2044713782,2330001218194
677427633,176215685,2330000696787
677427698,173692076,2330000517185
677427728,2009107150,2330000758695
677427816,175890339,2330000155350
677427939,173692076,2330000517185
677427942,2008077595,2330000128157
677428063,173692076,2330000517185
677428363,173692076,2330000517185
677426227,178083391,2330000691969
677426229,173692076,2330000517185
677426233,173692076,2330000517185
677426392,2044882386,2330001206707
677426455,177783240,2330000637481
677426481,173692076,2330000517185
677426508,173692076,2330000517185
677426611,173692076,2330000517185
677426749,173692076,2330000517185
677426791,173692076,2330000517185
677426849,172728250,2330000586549
677426871,173692076,2330000517185
677426931,173692076,2330000517185
677426934,173692076,2330000517185
677426938,173692076,2330000517185
677426982,173692076,2330000517185
677427102,173692076,2330000517185
677427113,173692076,2330000517185
677427248,2039434355,2330001123044
677427226,173692076,2330000517185
677427285,173692076,2330000517185
677427342,2042626587,2330001202663
677427350,176474824,2330000165412
677427397,173692076,2330000517185
677427398,173692076,2330000517185
677427407,173692076,2330000517185
677427455,173692076,2330000517185
677427460,177182669,2330000458046
677427488,173692076,2330000517185
677427504,2024660720,2330001026098
677427508,173692076,2330000517185
677427509,2039811985,2330001132493
677427602,172113865,2330000665944
677427605,173692076,2330000517185
677427632,2042536625,2330001177772
677427691,173692076,2330000517185
677427729,173692076,2330000517185
677427753,173692076,2330000517185
677427755,173692076,2330000517185
677427890,173692076,2330000517185
677427934,178771108,2330000185653
677427978,173692076,2330000517185
677428025,2021730975,2330000137226
677428150,2008403612,2330000051564
677428371,172583563,2330000357746
677428543,173692076,2330000517185
677428665,2042536625,2330001177772
677426226,174160769,2330000327028
677426416,173692076,2330000517185
677426417,173692076,2330000517185
677426472,173692076,2330000517185
677426477,173692076,2330000517185
677426478,173692076,2330000517185
677426513,172966666,2330000020504
677426649,172525509,2330000104570
677426757,173692076,2330000517185
677426786,2037738777,2330000649442
677426901,173692076,2330000517185
677426909,2042649244,2330001177780
677426926,173692076,2330000517185
677426964,2018729132,2330000665624
677426989,173345718,2330000557249
677426990,173692076,2330000517185
677427017,2010153022,2330000324624
677427048,173692076,2330000517185
677427069,2044713782,2330001218194
677427100,173692076,2330000517185
677427141,173692076,2330000517185
677427279,173692076,2330000517185
677427280,173692076,2330000517185
677427286,173692076,2330000517185
677427373,173692076,2330000517185
677427485,172681227,2330000380877
677427570,174712760,2330000172793
677427733,174037564,2330000578808
677427761,2020890121,2330000234274
677428153,173692076,2330000517185
677428453,177783240,2330000637481
677428838,172173522,2330000007453
677428840,177044532,2330000747196
677428924,176275749,2330000167170
677426205,173692076,2330000517185
677426231,173692076,2330000517185
677426232,176725359,2330000056332
677426262,173692076,2330000517185
677426289,174504806,2330000305638
677426339,174716789,2330000767435
677426370,173692076,2330000517185
677426391,2039629931,2330001122941
677426454,172569137,2330000307073
677426499,173692076,2330000517185
677426512,173692076,2330000517185
677426613,173692076,2330000517185
677426616,173692076,2330000517185
677426702,2044872947,2330001157648
677426705,173692076,2330000517185
677426755,2020203911,2330000661481
677426939,172966666,2330000020504
677426960,2033679416,2330000310002
677426968,176275749,2330000167170
677427015,173692076,2330000517185
677427020,173692076,2330000517185
677427244,2064576676,2330001413123
677427128,174604655,2330000611667
677427197,173692076,2330000517185
677427201,2039593797,2330001127594
677427308,174963939,2330000697601
677427343,2063850219,2330001133100
677427372,173692076,2330000517185
677427491,173692076,2330000517185
677427521,173692076,2330000517185
677427564,173692076,2330000517185
677427572,173692076,2330000517185
677427597,172981893,2330000047507
677427598,173692076,2330000517185
677427609,173692076,2330000517185
677427721,173692076,2330000517185
677427727,173692076,2330000517185
677427758,173692076,2330000517185
677427766,173692076,2330000517185
677427791,2021624902,2330000133351
677427981,2020234724,2330000997413
677428065,173692076,2330000517185
677428280,2030537174,2330000771353
677428325,173692076,2330000517185
677426259,173692076,2330000517185
677426337,173692076,2330000517185
677426390,180778207,2330000567647
677426475,173692076,2330000517185
677426539,172293879,2330000002758
677426651,173692076,2330000517185
677426703,173692076,2330000517185
677426725,173692076,2330000517185
677426738,173692076,2330000517185
677426903,175979739,2330000191025
677426907,173092558,2330000211664
677426961,173692076,2330000517185
677426969,2026027630,2330000714693
677427046,2008473031,2330000725935
677427079,173692076,2330000517185
677427083,173692076,2330000517185
677427188,173692076,2330000517185
677427192,176642140,2330000006820
