P_CBPID,P_AUID,P_Samkey,P_HHID
677426399,173692076,2330000517185,173692076
677426421,176990637,2330000720977,176990637
677426422,2037793273,2330000649811,2037793273
677426423,173692076,2330000517185,173692076
677426485,173692076,2330000517185,173692076
677426514,173692076,2330000517185,173692076
677426761,173692076,2330000517185,173692076
677426821,175979739,2330000191025,175979739
677426879,173692076,2330000517185,173692076
677426941,176474824,2330000165412,176474824
677426993,2008244185,2330000920422,2008244185
677427143,173692076,2330000517185,173692076
677427202,173692076,2330000517185,173692076
677427376,172894565,2330000240305,172894565
677427380,173692076,2330000517185,173692076
677427470,173692076,2330000517185,173692076
677427514,173692076,2330000517185,173692076
677427610,173692076,2330000517185,173692076
677427704,173692076,2330000517185,173692076
677427705,173692076,2330000517185,173692076
677427769,173692076,2330000517185,173692076
677427785,172235583,2330000115150,172235583
677427787,173692076,2330000517185,173692076
677427812,172728250,2330000586549,172728250
677427818,177315281,2330000661746,177315281
677427819,173692076,2330000517185,173692076
677427858,176247567,2330000319435,176247567
677427897,173692076,2330000517185,173692076
677428028,173692076,2330000517185,173692076
677428073,2044973436,2330001177013,2044973436
677428193,173692076,2330000517185,173692076
677428284,173692076,2330000517185,173692076
677428409,173692076,2330000517185,173692076
677428412,173692076,2330000517185,173692076
677428413,173692076,2330000517185,173692076
677428457,173345718,2330000557249,173345718
677428495,173692076,2330000517185,173692076
677428496,2037826468,2330000649508,2037826468
677428621,180778207,2330000567647,180778207
677428709,172569137,2330000307073,172569137
677428884,173692076,2330000517185,173692076
677428966,173692076,2330000517185,173692076
677429223,173692076,2330000517185,173692076
677426397,173692076,2330000517185,173692076
677426398,173692076,2330000517185,173692076
677426619,2024611612,2330001041713,2024611612
677426733,184195424,2330000671833,184195424
677426766,172208598,2330000133604,172208598
677426996,2036348951,2330001071693,2036786298
677426998,2044882386,2330001206707,2044882386
677427023,173692076,2330000517185,173692076
677427253,173692076,2330000517185,173692076
677427255,2019408230,2330000724104,2019408230
677427257,2020157211,2330000681819,2020157211
677427200,173692076,2330000517185,173692076
677427320,173999291,2330000603789,173999291
677427347,173692076,2330000517185,173692076
677427406,183118529,2330000700912,183118529
677427438,173692076,2330000517185,173692076
677427493,173692076,2330000517185,173692076
677427606,173207901,2330000303648,173207901
677427730,173692076,2330000517185,173692076
677427731,173692076,2330000517185,173692076
677427765,2021119284,2330000999725,2021119284
677427813,173692076,2330000517185,173692076
677427944,173692076,2330000517185,173692076
677427945,174712760,2330000172793,174712760
677427947,175090801,2330000586228,175090801
677427948,177694850,2330000340348,177694850
677428027,173692076,2330000517185,173692076
677428111,173692076,2330000517185,173692076
677428151,173692076,2330000517185,173692076
677428156,173692076,2330000517185,173692076
677428158,173692076,2330000517185,173692076
677428194,173692076,2330000517185,173692076
677428283,185052178,2330000770022,185052178
677428321,173692076,2330000517185,173692076
677428365,178263558,2330000480481,178263558
677428369,173692076,2330000517185,173692076
677428370,173692076,2330000517185,173692076
677428410,174257407,2330000525680,174257407
677428580,173622612,2330000085710,173622612
677428583,174272199,2330000661469,174272199
677428880,173692076,2330000517185,173692076
677426763,2015407640,2330000867592,2015407640
677426764,173692076,2330000517185,173692076
677426795,173692076,2330000517185,173692076
677426819,173692076,2330000517185,173692076
677426824,173692076,2330000517185,173692076
677427082,2037807554,2330000415813,2037807554
677427111,173692076,2330000517185,173692076
677427258,173692076,2330000517185,173692076
677427228,174160769,2330000327028,174160769
677427346,173692076,2330000517185,173692076
677427377,176914100,2330000352278,176914100
677427465,173692076,2330000517185,173692076
677427490,173692076,2330000517185,173692076
677427576,173692076,2330000517185,173692076
677427577,173692076,2330000517185,173692076
677427702,173692076,2330000517185,173692076
677427734,173692076,2330000517185,173692076
677427737,176988139,2330000469376,2022669422
677427763,174349082,2330000162156,174349082
677427792,173692076,2330000517185,173692076
677427820,173692076,2330000517185,173692076
677427855,2020203911,2330000661481,2020203911
677427859,173692076,2330000517185,173692076
677427862,173692076,2330000517185,173692076
677427983,178201487,2330000219211,178201487
677428068,173692076,2330000517185,173692076
677428069,177702062,2330000731466,177702062
677428072,173692076,2330000517185,173692076
677428076,178057261,2330000765920,178057261
677428322,2045441022,2330001050545,2045441022
677428754,183490721,2330000224989,183490721
677426425,173014388,2330000033995,2036320621
677426480,2045595160,2330001254458,2045595160
677426483,173692076,2330000517185,173692076
677426621,173692076,2330000517185,173692076
677426877,173692076,2330000517185,173692076
677426999,174253527,2330000333821,174253527
677427056,2042420509,2330001163266,2042420509
677427319,177710161,2330000728707,177710161
677427321,177378376,2330000134027,2031249155
677427383,173692076,2330000517185,173692076
677427433,173692076,2330000517185,173692076
677427520,173692076,2330000517185,173692076
677427547,173692076,2330000517185,173692076
677427627,173692076,2330000517185,173692076
677427672,174716789,2330000767435,174716789
677427677,173692076,2330000517185,173692076
677427678,173692076,2330000517185,173692076
677427790,173661703,2330000728628,173661703
677427822,173692076,2330000517185,173692076
677427900,2037759899,2330001071795,2016390005
677427984,173692076,2330000517185,173692076
677427987,172681227,2330000380877,172681227
677428023,174604655,2330000611667,2020040593
677428240,173692076,2330000517185,173692076
677428242,2042968651,2330001223245,2042968651
677428327,173692076,2330000517185,173692076
677428328,172681227,2330000380877,172681227
677428449,173692076,2330000517185,173692076
677428492,173692076,2330000517185,173692076
677428540,173692076,2330000517185,173692076
677428541,176725359,2330000056332,176725359
677428711,173692076,2330000517185,173692076
677428925,173692076,2330000517185,173692076
677429180,189680238,2330000073671,189680238
677429181,173692076,2330000517185,173692076
677426737,2018729132,2330000665624,2018729132
677426796,172113865,2330000665944,172113865
677427027,173692076,2330000517185,173692076
677427052,172293879,2330000002758,2024043504
677427054,173692076,2330000517185,173692076
677427084,172525509,2330000104570,172525509
677427251,173692076,2330000517185,173692076
677427172,173692076,2330000517185,173692076
677427323,173692076,2330000517185,173692076
677427412,173692076,2330000517185,173692076
677427434,2020234724,2330000997413,2020234724
677427516,173692076,2330000517185,173692076
677427519,173692076,2330000517185,173692076
677427546,173692076,2330000517185,173692076
677427613,173659870,2330000403179,173659870
677427759,177199204,2330000290155,177199204
677427786,173692076,2330000517185,173692076
677427789,173692076,2330000517185,173692076
677428077,173692076,2330000517185,173692076
677428112,173692076,2330000517185,173692076
677428159,172519622,2330000030091,172519622
677428320,2023071560,2330000564761,2023071560
677428323,172132706,2330000590917,172132706
677428578,173692076,2330000517185,173692076
677428579,173692076,2330000517185,173692076
677428584,173692076,2330000517185,173692076
677428667,175527598,2330000148600,175527598
677428751,173484463,2330000198150,173484463
677428753,176505437,2330000687723,176505437
677428923,173692076,2330000517185,173692076
677428967,2039811985,2330001132493,2039811985
677426369,173692076,2330000517185,173692076
677426424,2039511126,2330001083733,2039511126
677426484,173692076,2330000517185,173692076
677426618,2020092293,2330000705104,2020092293
677426736,2024660720,2330001026098,2024660720
677426762,173999291,2330000603789,173999291
677426823,173692076,2330000517185,173692076
677426881,173692076,2330000517185,173692076
677426940,172722022,2330000535986,172722022
677426991,175564550,2330000045075,175564550
677426992,175851365,2330000701380,175851365
677427077,173692076,2330000517185,173692076
677427293,173692076,2330000517185,173692076
677427317,173692076,2330000517185,173692076
677427318,173692076,2330000517185,173692076
677427322,173692076,2330000517185,173692076
677427324,173692076,2330000517185,173692076
677427325,173692076,2330000517185,173692076
677427379,173692076,2330000517185,173692076
677427411,173692076,2330000517185,173692076
677427430,173302495,2330000036678,173302495
677427432,173692076,2330000517185,173692076
677427467,173692076,2330000517185,173692076
677427468,173692076,2330000517185,173692076
677427498,2035703102,2330001018480,2035703102
677427574,173692076,2330000517185,173692076
677427738,173692076,2330000517185,173692076
677427768,2026027630,2330000714693,2026027630
677427821,175467803,2330000719045,175467803
677427854,173692076,2330000517185,173692076
677427898,173692076,2330000517185,173692076
677427937,173692076,2330000517185,173692076
677427988,173692076,2330000517185,173692076
677428113,173692076,2330000517185,173692076
677428154,173692076,2330000517185,173692076
677428195,173692076,2330000517185,173692076
677428197,176642140,2330000006820,176642140
677428279,173692076,2330000517185,173692076
677428281,2042649244,2330001177780,2042649244
677428414,2012918008,2330000630325,2012918008
677428623,173692076,2330000517185,173692076
677428712,173692076,2330000517185,173692076
677428713,177182669,2330000458046,177182669
677428879,173692076,2330000517185,173692076
677428881,2045546740,2330001254274,2045546740
677427260,173692076,2330000517185,173692076
677429266,173692076,2330000517185,173692076
677426482,173692076,2330000517185,173692076
677426486,173692076,2330000517185,173692076
677426515,173692076,2330000517185,173692076
677426620,2042649244,2330001177780,2042649244
677426679,2008284521,2330000682044,2008284521
677426818,177807399,2330000423134,177807399
677426883,173692076,2330000517185,173692076
677426994,173692076,2330000517185,173692076
677427250,2050344105,2330001282624,2050344105
677427142,173692076,2330000517185,173692076
677427288,174776003,2330000528231,174776003
677427289,173692076,2330000517185,173692076
677427316,174593215,2330000674206,174593215
677427382,2042730617,2330001174531,2042730617
677427409,173692076,2330000517185,173692076
677427435,173692076,2330000517185,173692076
677427461,174504806,2330000305638,174504806
677427469,175608603,2330000535612,175608603
677427614,2064561232,2330001380270,2064561232
677427629,173692076,2330000517185,173692076
677427671,173692076,2330000517185,173692076
677427674,2021624902,2330000133351,2021624902
677427679,173692076,2330000517185,173692076
677427852,175267016,2330000029262,175267016
677427856,172728250,2330000586549,172728250
677427894,173692076,2330000517185,173692076
677427896,172506174,2330000766168,172506174
677428155,172632854,2330000764870,172632854
677428282,173692076,2330000517185,173692076
677428324,173692076,2330000517185,173692076
677428537,173209249,2330000105876,173209249
677428622,2020565402,2330000776097,2020565402
677428707,173692076,2330000517185,173692076
677428752,173692076,2330000517185,173692076
677428839,2009385124,2330000913044,2009385124
677428883,178771108,2330000185653,178771108
677428922,173692076,2330000517185,173692076
677429008,173692076,2330000517185,173692076
677426420,176515309,2330000383162,176515309
677426676,173692076,2330000517185,173692076
677427110,173692076,2330000517185,173692076
677427259,173692076,2330000517185,173692076
677427229,173692076,2330000517185,173692076
677427231,173692076,2330000517185,173692076
677427439,174669451,2330000514044,174669451
677427512,2045387398,2330001201631,2045387398
677427517,173692076,2330000517185,173692076
677427548,173692076,2330000517185,173692076
677427608,173692076,2330000517185,173692076
677427611,2063967155,2330001358954,2063967155
677427630,173692076,2330000517185,173692076
