p_cbpid,p_samkey,p_auid
677426419,2330000517185,173692076
677427024,2330000517185,173692076
677427199,2330000193714,175676990
677427292,2330000312281,173387443
677427436,2330000517185,173692076
677427437,2330000517185,173692076
677427499,2330000517185,173692076
677427513,2330000559372,174281155
677427544,2330000300574,178916001
677427545,2330000517185,173692076
677427607,2330000517185,173692076
677427612,2330000517185,173692076
677427628,2330000691969,178083391
677427631,2330000517185,173692076
677427673,2330000517185,173692076
677427736,2330000342825,172705245
677427814,2330000517185,173692076
677428021,2330000276356,178043967
677428114,2330000517185,173692076
677428494,2330000113091,174550757
677428535,2330000517185,173692076
677428755,2330000517185,173692076
677428793,2330000517185,173692076
677429051,2330000517185,173692076
677429729,2330000517185,173692076
677429740,2330000767435,174716789
677429744,2330001282624,2050344105
677429757,2330000185653,178771108
677429766,2330000671032,2023900055
677429807,2330000915815,2037096495
677429809,2330000517185,173692076
677429829,2330000517185,173692076
677429910,2330000561459,2014358174
677430049,2330000172793,174712760
677430076,2330000517185,173692076
677430105,2330000517185,173692076
677430123,2330000517185,173692076
677430137,2330000517185,173692076
677430144,2330000517185,173692076
677430161,2330000517185,173692076
677430204,2330000133351,2021624902
677430240,2330000517185,173692076
677430262,2330000517185,173692076
677430320,2330000758695,2009107150
677430377,2330000586228,175090801
677426937,2330000517185,173692076
677427026,2330000517185,173692076
677427049,2330000931750,2009345981
677427053,2330000561459,2014358174
677427080,2330000377284,174008857
677427114,2330000517185,173692076
677427252,2330000517185,173692076
677427256,2330000517185,173692076
677427408,2330000517185,173692076
677427431,2330000622007,172397468
677427494,2330000047507,172981893
677427495,2330001041713,2024611612
677427676,2330001163263,2044341405
677427793,2330000517185,173692076
677427860,2330000563595,176545074
677428196,2330000578808,174037564
677428199,2330000517185,173692076
677428241,2330000517185,173692076
677428326,2330000112150,172687346
677428364,2330000174045,176909148
677428624,2330000006820,176642140
677428750,2330000517185,173692076
677428794,2330000517185,173692076
677428882,2330000517185,173692076
677429784,2330000487499,175631690
677429785,2330000517185,173692076
677429786,2330000517185,173692076
677429825,2330000517185,173692076
677429896,2330000517185,173692076
677429980,2330000665944,172113865
677429989,2330000333821,174253527
677429974,2330000517185,173692076
677430017,2330000517185,173692076
677430083,2330000517185,173692076
677430097,2330000517185,173692076
677430128,2330000630325,2012918008
677430200,2330000517185,173692076
677430159,2330000517185,173692076
677430205,2330000517185,173692076
677426822,2330000517185,173692076
677427076,2330000517185,173692076
677427078,2330000782558,185730012
677427254,2330000461956,172501204
677427296,2330000517185,173692076
677427378,2330000517185,173692076
677427543,2330000517185,173692076
677427575,2330000139722,2026023023
677427815,2330000517185,173692076
677427817,2330000649393,2037738742
677427940,2330000517185,173692076
677428071,2330000517185,173692076
677428152,2330000517185,173692076
677428450,2330000517185,173692076
677428452,2330000664155,174528213
677428536,2330000517185,173692076
677428664,2330000671032,2023900055
677428841,2330000517185,173692076
677429137,2330000517185,173692076
677429700,2330000169088,174038529
677429723,2330000423134,177807399
677429746,2330000517185,173692076
677429810,2330000517185,173692076
677429832,2330000517185,173692076
677429843,2330000517185,173692076
677429851,2330000919771,172822540
677429869,2330000867592,2015407640
677429957,2330000517185,173692076
677429985,2330000517185,173692076
677430010,2330000517185,173692076
677430043,2330000667446,173098203
677430088,2330000696730,176597484
677430127,2330000649393,2037738742
677430160,2330000056332,176725359
677430253,2330000517185,173692076
677430268,2330000517185,173692076
677430360,2330000517185,173692076
677427028,2330000517185,173692076
677427050,2330000919771,172822540
677427115,2330000517185,173692076
677427198,2330000517185,173692076
677427291,2330000517185,173692076
677427573,2330000517185,173692076
677427703,2330000517185,173692076
677427823,2330000040155,172261255
677427861,2330000517185,173692076
677428066,2330000517185,173692076
677428191,2300000211383,177087873
677428239,2330000517185,173692076
677428454,2330000517185,173692076
677429720,2330000517185,173692076
677429738,2330000517185,173692076
677429754,2330000292986,172073213
677429812,2330000517185,173692076
677429891,2330000174045,176909148
677429914,2330000517185,173692076
677429935,2330000051564,2008403612
677430014,2330000590917,172132706
677430074,2330000517185,173692076
677430098,2330000517185,173692076
677430186,2330000517185,173692076
677430284,2330000040155,172261255
677426479,2330000517185,173692076
677426678,2330000170111,173940784
677426853,2330000169088,174038529
677426995,2330000517185,173692076
677427051,2330000649442,2037738777
677427173,2330000517185,173692076
677427294,2330000948055,2019823192
677427404,2330000517185,173692076
677427515,2330000517185,173692076
677427760,2330000517185,173692076
677427857,2330000517185,173692076
677427985,2330000968162,174847019
677428108,2330000517185,173692076
677428148,2330000548937,173189847
677428236,2330000323541,175023316
677428542,2330000517185,173692076
677428710,2330000517185,173692076
677428968,2330000517185,173692076
677429309,2330000517185,173692076
677429753,2330000548937,173189847
677429751,2330000517185,173692076
677429770,2330000586549,172728250
677429801,2330001040488,2024177494
677429796,2330000603789,173999291
677429797,2330000517185,173692076
677429834,2330000517185,173692076
677429837,2330000148783,174076554
677429842,2330000162156,174349082
677429862,2330001202663,2042626587
677429917,2330000528231,174776003
677429922,2330000517185,173692076
677429937,2330000517185,173692076
677429972,2330000383162,176515309
677430012,2330000724104,2019408230
677430027,2330000307073,172569137
677430075,2330000517185,173692076
677430143,2330001177780,2042649244
677430177,2330000517185,173692076
677430275,2330000649508,2037826468
677430328,2330000517185,173692076
677430351,2330000517185,173692076
677430362,2330000030091,172519622
677430394,2330000517185,173692076
677426677,2330000035139,2012953818
677426732,2330001362908,2045336040
677426765,2330000517185,173692076
677426820,2330001040488,2024177494
677426880,2330000517185,173692076
677427139,2330000728707,177710161
677427290,2330000517185,173692076
677427341,2330000914724,2044301751
677427351,2330000517185,173692076
677427375,2330000517185,173692076
677427496,2330000051845,2021226239
677427518,2330000667446,173098203
677427762,2330000517185,173692076
677427941,2330000517185,173692076
677427986,2330000517185,173692076
677428026,2330000517185,173692076
677428368,2330000517185,173692076
677428965,2330000144210,179420287
677429704,2330000002758,172293879
677429717,2330000517185,173692076
677429727,2330001173961,2042783355
677429749,2330000517185,173692076
677429782,2330000517185,173692076
677429811,2330000517185,173692076
677429826,2330000517185,173692076
677429844,2330000461956,172501204
677429984,2330000517185,173692076
677429999,2330000517185,173692076
677430062,2330000517185,173692076
677430072,2330000517185,173692076
677430107,2330000517185,173692076
677430108,2330000318716,176047723
677430162,2330000517185,173692076
677430179,2330000167170,176275749
677430221,2330000517185,173692076
677430292,2330000517185,173692076
677430312,2330000517185,173692076
677426617,2330000247723,2036688462
677426767,2330000318716,176047723
677426878,2330000760146,2009296134
677427025,2330000517185,173692076
677427140,2330000517185,173692076
677427144,2330000324624,2010153022
677427287,2330000517185,173692076
677427348,2330000517185,173692076
677427352,2330000517185,173692076
677427381,2330000673402,300115793
677427405,2330001413123,2064576676
677427410,2330000517185,173692076
677427492,2330001414579,2064844694
677427497,2330000517185,173692076
677427788,2330000517185,173692076
677427794,2330000517185,173692076
677428022,2330000517185,173692076
677428106,2330001077104,2039621267
677428110,2330000915815,2037096495
677428116,2330000517185,173692076
677428192,2330000517185,173692076
677428198,2330000517185,173692076
677428277,2330000517185,173692076
677428836,2330000354650,173076622
677429713,2330000036678,173302495
677429750,2330000920422,2008244185
677429816,2330000517185,173692076
677429820,2330000517185,173692076
677429867,2330000517185,173692076
677429875,2330000517185,173692076
677429893,2330000758474,172869841
677429911,2330000377284,174008857
677429920,2330001177013,2044973436
677430025,2330000673402,300115793
677430033,2330000517185,173692076
677430124,2330000319435,176247567
677430201,2330000747196,177044532
677430327,2330000517185,173692076
677430361,2330000517185,173692076
677430371,2330001083733,2039511126
677426997,2330001122941,2039629931
677427055,2330000672089,176214636
677427057,2330000517185,173692076
677427086,2330000517185,173692076
677427349,2330000517185,173692076
677427402,2330000517185,173692076
677427462,2330000517185,173692076
677427511,2330000475427,173421724
677427764,2330000517185,173692076
677427943,2330000517185,173692076
677427946,2330000649393,2037738742
677427982,2330000517185,173692076
677428029,2330000517185,173692076
677428074,2330000665944,172113865
677428367,2330000517185,173692076
677428407,2330000517185,173692076
677428582,2330001233246,2044696888
677429010,2330000758695,2009107150
677429094,2330000517185,173692076
677429095,2330000140303,177204008
677429756,2330000480481,178263558
677429759,2330000234274,2020890121
677429788,2330000517185,173692076
677429906,2330000517185,173692076
677429943,2330001413123,2064576676
677429946,2330000517185,173692076
677429949,2330000517185,173692076
677429990,2330000517185,173692076
677430084,2330000517185,173692076
677430069,2330000517185,173692076
677430089,2330000514044,174669451
677430103,2330000517185,173692076
677430139,2330000147850,177584540
677430146,2330000517185,173692076
677430225,2330000649393,2037738742
