P_CBPID,P_SAMKEY,P_HHID,P_AUID
677461455,2330000355269,174514356,174514356
677459127,2330000280744,173582635,173582635
677458597,2330000586707,173591218,173591218
677459688,2330000697770,177979681,177979681
677461088,2330000758348,177682972,177682972
677463422,2330000447443,176809417,176809417
677461517,2330000030091,172519622,172519622
677462857,2330001071795,2016390005,2037759899
677459349,2330000567647,180778207,180778207
677459827,2330000932566,2020637571,2020637571
677462341,2330001122940,2039468850,2039468850
677458787,2330000700778,178430589,178430589
677458367,2330001202663,2042626587,2042626587
677459267,2330000411236,2020165248,2020165248
677459152,2330001254274,2045546740,2045546740
677460389,2330000204877,2016621253,175055410
677463816,2330000672089,176214636,176214636
677459834,2330000025173,173630866,173630866
677463693,2330001344746,2064925416,2064925416
677461781,2330000356599,2022851604,172968950
677458749,2330000997413,2020234724,2020234724
677463035,2330000475427,173421724,173421724
677461751,2330000671189,177609106,177609106
677461338,2330000554417,172642773,172642773
677461515,2330000915815,2037096495,2037096495
677459025,2330000914724,2044301751,2044301751
677459454,2330000440868,172145704,172145704
677461650,2330000586228,175090801,175090801
677458637,2330001217997,2044199830,2044199830
677463626,2330000544675,173177445,173177445
677462738,2330000867608,2010139066,2010139066
677463695,2330000658467,173149944,173149944
677454924,2330000055183,175999995,175999995
677463030,2330000055183,175999995,175999995
677462296,2330000725935,2008473031,2008473031
677461848,2330001192582,2044905211,2044905211
677463363,2330000690819,178051304,178051304
677458973,2330000440644,173788639,173788639
677462470,2330000666370,175520830,175520830
677460081,2330000478331,181713730,181713730
677462346,2330001071693,2036786298,2036348951
677461828,2330000310002,2033679416,2033679416
677461711,2330000411236,2020165248,2020165248
677459490,2330000700912,183118529,183118529
677462161,2330000152513,173107414,173107414
677462167,2330000035139,2012953818,2012953818
677461885,2330000866799,2008604739,2008604739
677462328,2330000944451,2025289968,2025289968
677458504,2330000739407,2020173172,2020173172
677462865,2330000919771,172822540,172822540
677460287,2330000266651,176443307,176443307
677463669,2330000564761,2023071560,2023071560
677459906,2330000255824,172806772,172806772
677462843,2330000687174,2013547144,2013547144
677459505,2330001218194,2044713782,2044713782
677458463,2330000211664,2021348995,173092558
677459317,2330000125385,178716300,178716300
677459167,2330000493848,176844967,176844967
677461051,2330000713285,177383121,177383121
677462365,2330000606744,175798493,175798493
677461301,2330000719166,176553601,176553601
677462718,2330001057004,2042762783,2042762783
677460255,2330000661481,2020203911,2020203911
677462665,2330001356129,2063620327,2063620327
677458087,2330000659722,175115743,175115743
677460256,2330000011681,177314876,177314876
677462985,2330000959274,2021989873,2021989873
677459868,2330000392807,178047921,178047921
677462262,2330000184048,174823435,174823435
677460876,2330001201967,2043025883,2043025883
677463113,2330000358364,172695654,172695654
677461451,2330000700941,176429461,176429461
677459322,2330000290155,177199204,177199204
677460995,2330001201952,2042883619,2042883619
677461442,2330001194751,2044030849,2044224505
677460407,2330001173607,2042735521,2042735521
677461178,2330000542167,172469399,172469399
677462404,2330000155350,2015110738,175890339
677462456,2330000517185,173692076,173692076
677461975,2330000926712,2017500472,2017500472
677460160,2330001138906,2042390038,2042390038
677459682,2330000440644,173788639,173788639
677455203,2330000059864,172049605,172049605
677458614,2330000136476,173152016,173152016
677462732,2330001282624,2050344105,2050344105
677460258,2330000915815,2037096495,2037096495
677463352,2330001157641,2045500723,2045500723
677460854,2330001022701,2022070915,2022070915
677463115,2330001005942,2020893968,2020893968
677460382,2330001177780,2042649244,2042649244
677460092,2330000999725,2021119284,2021119284
677459988,2330001171891,2042603046,2042603046
677459026,2330000691833,172414980,172414980
677462395,2330000672089,176214636,176214636
677459927,2330000029262,175267016,175267016
677460149,2330001177013,2044973436,2044973436
677461439,2330000309314,176781760,176781760
677462921,2330000737231,175534777,175534777
677460477,2330000625476,300005562,300005562
677458321,2330000714693,2026027630,2026027630
677461966,2330001267739,2045572195,2045572195
