P_FAID,P_CBPID,P_SAMKEY,P_HHID,P_AUID
249091638,677460488,2330000778630,2045486676,2045486676
249119652,677463290,2330000737231,175534777,175534777
249078965,677459206,2330000682335,2039613672,2039613672
249081266,677459436,2330000607631,175081389,175081389
249095092,677460834,2330001042011,2024680299,2024680299
249114737,677462798,2330000393219,181491270,181491270
249083858,677459700,2330000185441,2016347132,2016347132
249118563,677463245,2330000206751,174981978,174981978
249092610,677460586,2330001176964,2045316045,2045316045
249104282,677461753,2330000629780,175293278,175293278
249086828,677460007,2330000950170,2010205793,2010205793
249080441,677459354,2330000938003,2008470338,2008470338
249084567,677459771,2330000697699,2022765492,173064942
249090341,677460316,2330000681819,2020157211,2020157211
249121146,677463439,2330000867608,2010139066,2010139066
249072935,677458603,2330001177772,2042536625,2042536625
249084153,677459730,2330000089905,172012096,172012096
249069733,677458240,2330001026098,2024660720,2024660720
249108739,677462198,2330000115150,172235583,172235583
249112632,677462588,2330000206751,174981978,174981978
249072695,677458579,2330000411333,2021763827,2021763827
249121039,677463428,2330001362908,2045336040,2045336040
249094939,677460818,2330000932566,2020637571,2020637571
249085937,677459918,2330000570700,2034279387,2022114947
249078221,677459132,2330000381112,2009657517,173781670
249100686,677461457,2330000036678,173302495,173302495
249072398,677458549,2330000322382,177463482,177463482
249105008,677462144,2330000410279,2008280812,2008280812
249077488,677459058,2330001201967,2043025883,2043025883
249069881,677458255,2330001173644,2042733578,2042733578
249101999,677461524,2330000728628,173661703,173661703
249093022,677460627,2330000274122,2008159370,2008159370
249101403,677461401,2330000219211,178201487,178201487
249102963,677461621,2330000701380,175851365,175851365
249082124,677459527,2330001380270,2064561232,2064561232
249079500,677459260,2330000594396,2020057568,174202652
249095324,677460857,2330000011362,175868261,175868261
249078205,677459130,2330000676781,178471551,178471551
249080698,677459380,2330000340348,177694850,177694850
249080748,677459385,2330000674206,174593215,174593215
249110065,677462331,2330000676781,178471551,178471551
249071374,677458447,2330000172793,174712760,174712760
249108887,677462213,2330001031582,2024073125,2024073125
249078924,677459202,2330000244786,174620166,174620166
249090879,677460412,2330000394614,172846777,172846777
249116435,677463032,2330001045793,2021128185,2037809790
249093527,677460677,2330000720977,176990637,176990637
249076480,677458958,2330000009686,2036665785,175184221
249075409,677458850,2330001118706,2037233978,2039244949
249084534,677459768,2330000458046,177182669,177182669
249072612,677458571,2330000623764,172253876,172253876
249113424,677462667,2330001133100,2063850219,2063850219
249091299,677460454,2330000573877,2020289293,2009275300
249096876,677461012,2330000958934,2023692754,2023692754
249081589,677459473,2330000501713,174825469,174825469
249080524,677459362,2330000686907,2008505165,2008505165
249119074,677462977,2330001218194,2044713782,2044713782
249113234,677462648,2330000028945,172884891,172884891
249083692,677459684,2330000731377,175955632,175955632
249074006,677458710,2330001031289,173026056,173026056
249074360,677458746,2330000586707,173591218,173591218
249091026,677460427,2330001140210,2042565442,2042565442
249106840,677461945,2330001041713,2024611612,2024611612
249060062,677457277,2330001041713,2024611612,2024611612
249077520,677459062,2330000730872,2021472222,2021472222
249087073,677460032,2330000076789,2034809390,173225617
249092404,677460565,2330000268404,174630012,174630012
249115791,677462904,2330000105876,173209249,173209249
249069931,677458260,2330000766749,176462535,176462535
249097023,677461027,2330000488147,2034817591,2034817591
249088519,677460176,2330000708614,173518153,173518153
249076035,677458870,2330001282624,2050344105,2050344105
249085713,677459896,2330000256877,178121575,178121575
249075607,677458912,2330000013653,173316501,173316501
249097544,677461079,2330000255824,172806772,172806772
249092800,677460605,2330000057061,177234999,177234999
249074659,677458775,2330001254458,2045595160,2045595160
249110644,677462389,2330000310381,2020607841,2020607841
249082389,677459553,2330000687760,191139005,174643149
249087495,677460074,2330000719045,175467803,175467803
249090507,677460332,2330001133100,2063850219,2063850219
249104589,677461783,2330000378768,173513526,173513526
249104662,677461791,2330000033995,2036320621,173014388
249079039,677459213,2330000461956,2036877963,172501204
249068594,677458159,2330000541580,178464045,178464045
249075490,677458859,2330000211594,2020880700,177881542
249105305,677462174,2330000731435,176846472,176846472
249070111,677458278,2330000697701,173267141,173267141
249118969,677462966,2330000548937,173189847,173189847
249073123,677458622,2330000681605,2016594590,172797278
249115858,677462910,2330001033818,2023499504,2023499504
249072604,677458570,2330000592604,173900732,173900732
249076746,677458984,2330000731466,177702062,177702062
249086158,677459940,2330001192582,2044905211,2044905211
249078734,677459183,2330000478331,181713730,181713730
249082223,677459537,2330000638000,175538037,175538037
249108507,677462111,2330000130709,175454083,175454083
249095142,677460839,2330000338703,177594828,177594828
249091935,677460518,2330000076789,2034809390,173225617
249076597,677458969,2330000767232,2008735312,2008735312
