P_CBPID,P_SAMKEY,P_HHID,P_AUID
677460023,2330000672089,176214636,176214636
677462582,2330000586707,173591218,173591218
677461655,2330000167170,176275749,176275749
677458449,2330000607631,175081389,175081389
677458144,2330000766168,172506174,172506174
677459162,2330000511716,173887971,173887971
677462163,2330000698920,2008744378,2008744378
677459398,2330000941467,2008845513,2008845513
677460987,2330000438076,174066880,174066880
677459798,2330000740571,176681347,176681347
677461070,2330001132890,2042805807,2042805807
677461690,2330000630325,2012918008,2012918008
677458582,2330000666468,176309632,176309632
677458508,2330000434562,2024690336,2024690336
677460113,2330000508464,178492737,178492737
677462984,2330000405982,2015365364,173664339
677462271,2330001254323,2045055000,2045055000
677458241,2330001071795,2016390005,2037759899
677458546,2330000447379,173075305,173075305
677462166,2330001031582,2024073125,2024073125
677460325,2330000687723,176505437,176505437
677458855,2330001122941,2039629931,2039629931
677461010,2330000728707,177710161,177710161
677459085,2330000686907,2008505165,2008505165
677460421,2330001211950,2042611662,2042611662
677457620,2330000237303,173557480,173557480
677461572,2330000124443,2035626813,2035626813
677461074,2330001077850,2039369829,2039369829
677458236,2330000676781,178471551,178471551
677459282,2330001254323,2045055000,2045055000
677462712,2330000460218,173770355,173770355
677459416,2330000405982,2015365364,173664339
677462046,2330000378768,173513526,173513526
677462799,2330000697770,177979681,177979681
677463303,2330000125385,178716300,178716300
677460053,2330000915815,2037096495,2037096495
677459977,2330000697699,2022765492,173064942
677459628,2330000091305,2017413969,172540448
677461562,2330000049692,174117795,174117795
677462009,2330000949160,2010066312,2010066312
677461511,2330000682335,2039613672,2039613672
677459374,2330000417540,174107274,174107274
677458903,2330000112150,172687346,172687346
677459312,2330001031673,2035427247,2035427247
677458935,2330000035236,172712809,172712809
677459394,2330001133670,2042645965,2042645965
677460366,2330000671486,176586944,176586944
677463477,2330001122941,2039629931,2039629931
677459256,2330000926507,2020012448,2020012448
677459705,2330000603789,173999291,173999291
677461727,2330000587501,2023810756,174126299
677458505,2330000649816,2037774764,2037774764
677460568,2330000350650,173937132,173937132
677461256,2330000477376,2017594751,173441767
677458959,2330000466433,2020261537,2020261537
677462659,2330000410279,2008280812,2008280812
677461464,2330000381112,2009657517,173781670
677457912,2330000912029,2008668760,2008668760
677462070,2330000557249,173345718,173345718
677458961,2330000681819,2020157211,2020157211
677462872,2330000926712,2017500472,2017500472
677460193,2330000997413,2020234724,2020234724
677462207,2330001174835,2044320127,2044320127
677457367,2330000447379,173075305,173075305
677460676,2330000948055,2019823192,2019823192
677462603,2330000365788,172976946,172976946
677463606,2330000867592,2015407640,2015407640
677460318,2330000257715,174048186,174048186
677458164,2330000180812,172250473,172250473
677455838,2330000081767,2009594913,2009594913
677459294,2330000056332,176725359,176725359
677463548,2330001124893,2039540336,2039540336
677459196,2330001134236,2042884713,2042884713
677463295,2330000999725,2021119284,2021119284
677459004,2330001031289,173026056,173026056
677459404,2330000782279,2019369988,2019369988
677461980,2330000382903,172267485,172267485
677458523,2330000948055,2019823192,2019823192
677457626,2330000867592,2015407640,2015407640
677459495,2330000758474,172869841,172869841
677460597,2330000731566,184542861,184542861
677462673,2330000172793,174712760,174712760
677458212,2330000106837,176572392,176572392
677460335,2330001233246,2044696888,2044696888
677460086,2330000752632,176411379,176411379
677461891,2330000761581,177051344,177051344
677459326,2330000256877,178121575,178121575
677458898,2330000334108,174830756,174830756
677461775,2330000290155,177199204,177199204
677458695,2330000170111,173940784,173940784
677459722,2330000679862,173064096,173064096
677461433,2330000728707,177710161,177710161
677459032,2330000322382,177463482,177463482
677455777,2330001177772,2042536625,2042536625
677463615,2330000081005,173761573,173761573
677455102,2330001392319,2063405615,2063405615
677460814,2330001018480,2035703102,2035703102
677459719,2330001118795,2039257324,2039257324
677461504,2330000680054,2033785112,2033785112
677461568,2330000508464,178492737,178492737
