P_CBPID,P_SAMKEY,P_HHID,P_AUID
677463494,2330000703359,176372928,176372928
677461217,2330001009047,2021150817,2021150817
677462029,2330000002758,2024043504,172293879
677459016,2330001071795,2016390005,2037759899
677463756,2330000714693,2026027630,2026027630
677458215,2330001358954,2063967155,2063967155
677463248,2330001177153,2042859487,2042859487
677461116,2330000752684,174708918,174708918
677462860,2330000719963,2009950988,2009950988
677463740,2330000661746,177315281,177315281
677463734,2330000739002,177265132,177265132
677463486,2330000946058,2009563849,2009563849
677461653,2330001173644,2042733578,2042733578
677460809,2330000645239,177409024,177409024
677463096,2330000081767,2009594913,2009594913
677460505,2330000447379,173075305,173075305
677458157,2330000630325,2012918008,2012918008
677458277,2330000687759,173063164,173063164
677458547,2330000539449,172842646,172842646
677459276,2330000333821,174253527,174253527
677463421,2330001109746,2039609489,2039609489
677459488,2330000870825,2008803278,2008803278
677461221,2330001246390,2050938046,2050938046
677462674,2330000603789,173999291,173999291
677460663,2330001018480,2035703102,2035703102
677461716,2330000758695,2009107150,2009107150
677460242,2330000959274,2021989873,2021989873
677459053,2330000057061,177234999,177234999
677463691,2330000731466,177702062,177702062
677459274,2330000457083,173243875,173243875
677459874,2330000783135,2020463660,2020463660
677459922,2330000211594,2020880700,177881542
677463418,2330000931733,2008236249,2008236249
677460013,2330001176974,2044852528,2044852528
677459624,2330000778630,2045486676,2045486676
677460602,2330000469376,2022669422,176988139
677458708,2330000237368,172464727,172464727
677460300,2330001173607,2042735521,2042735521
677461192,2330000112150,172687346,172687346
677458543,2330000434562,2024690336,2024690336
677459137,2330000318716,176047723,176047723
677459177,2330000477376,2017594751,173441767
677459475,2330000327260,174688155,174688155
677462720,2330000621944,177841167,177841167
677462342,2330000968162,174847019,174847019
677463132,2330000431940,173633028,173633028
677461500,2330000024652,174116383,174116383
677460448,2330000130709,175454083,175454083
677458531,2330000430488,174471587,174471587
677459242,2330000682335,2039613672,2039613672
677458298,2330000191025,175979739,175979739
677463302,2330000681736,2033897762,2021790489
677460585,2330000274483,2009544651,2009544651
677462277,2330000989503,2019338923,2019338923
677463430,2330000217172,177411586,177411586
677461111,2330000337382,174894669,174894669
677461371,2330000081767,2009594913,2009594913
677459247,2330000312281,173387443,173387443
677461639,2330000324332,173058815,173058815
677462915,2330000244786,174620166,174620166
677460186,2330000193714,175676990,175676990
677458153,2330000501713,174825469,174825469
677458624,2330000247737,172465671,172465671
677463431,2330000125838,176028088,176028088
677458940,2330000333663,174938130,174938130
677462725,2330001132893,2042461913,2042461913
677459144,2330000333076,2021401458,2021401458
677460799,2330001233506,2045431173,2045431173
677459187,2330000672607,2020500354,2020500354
677462411,2330000340348,177694850,177694850
677461082,2330000912029,2008668760,2008668760
677459258,2330000948055,2019823192,2019823192
677458591,2330000737231,175534777,175534777
677462935,2330001344746,2064925416,2064925416
677458933,2330000312281,173387443,173387443
677460612,2330000771353,2030537174,2030537174
677463181,2330001079649,172782085,172782085
677463366,2330000390759,177091085,177091085
677460351,2330001040488,2024177494,2024177494
677462099,2330000143089,175085983,175085983
677462168,2330000480481,178263558,178263558
677463484,2330000130709,175454083,175454083
677458702,2330000430488,174471587,174471587
677461666,2330000337382,174894669,174894669
677460391,2330000303648,173207901,173207901
677456902,2330000586228,175090801,175090801
677461462,2330000926507,2020012448,2020012448
677461327,2330000912029,2008668760,2008668760
677463350,2330000292986,2017590011,172073213
677461841,2330000461956,2036877963,172501204
677459270,2330000056332,176725359,176725359
677461850,2330000731566,184542861,184542861
677463048,2330000561459,2014358174,2014358174
677463054,2330000698920,2008744378,2008744378
677459924,2330001177772,2042536625,2042536625
677461393,2330000671030,175354180,175354180
677461133,2330000643604,173500815,173500815
677459608,2330000563595,176545074,176545074
677459266,2330001283264,2045457506,2045457506
677458160,2330000739531,181289822,181289822
