P_FAID,P_CBPID,P_SAMKEY,P_HHID,P_AUID
249072141,677458524,2330001032744,2023378446,2023378446
249090218,677460303,2330000447443,176809417,176809417
249080300,677459340,2330000586707,173591218,173591218
249101437,677461404,2330001122941,2039629931,2039629931
249121708,677463495,2330000671833,184195424,184195424
249068339,677458133,2330001017615,2021794262,2021794262
249107137,677461974,2330000638000,175538037,175538037
249086927,677460017,2330001413123,2064576676,2064576676
249087818,677460106,2330000913044,2009385124,2009385124
249117110,677463100,2330001173648,2042840766,2042840766
249103920,677461717,2330000156713,174642358,174642358
249084088,677459723,2330000081005,173761573,173761573
249073180,677458628,2330000666370,175520830,175520830
249087933,677460118,2330001031289,173026056,173026056
249080144,677459324,2330000475427,173421724,173421724
249075912,677458943,2330000708282,2008237557,2008237557
249117383,677463127,2330000867569,2021413741,2021413741
249118555,677463244,2330000719184,189620380,189620380
249087578,677460082,2330000935405,2009388019,2009388019
249107517,677462012,2330001254458,2045595160,2045595160
249058645,677457164,2330000731377,175955632,175955632
249068958,677458205,2330000915258,2010528510,2010528510
249090796,677460404,2330000234274,2020890121,2020890121
249070673,677458334,2330000603789,173999291,173999291
249067042,677458004,2330000333821,174253527,174253527
249082876,677459602,2330000322382,177463482,177463482
249073446,677458654,2330000356599,2022851604,172968950
249121104,677463435,2330000691833,172414980,172414980
249069469,677458384,2330000352278,176914100,176914100
249110008,677462325,2330001202068,2044678977,2044678977
249110768,677462401,2330000185653,178771108,178771108
249080565,677459366,2330000753736,2018023622,2018023622
249084526,677459767,2330000085710,173622612,173622612
249107582,677462019,2330000630079,2021676939,2021676939
249106527,677461913,2330000661469,174272199,174272199
249105883,677461849,2330000299195,172856814,172856814
249096017,677460926,2330000415813,2037807554,2037807554
249082504,677459565,2330000684951,175110381,175110381
249091190,677460444,2330000378768,173513526,173513526
249076993,677459009,2330000447443,176809417,176809417
249094194,677460744,2330000266622,183134808,183134808
249092149,677460539,2330000155350,2015110738,175890339
249083650,677459680,2330000989503,2019338923,2019338923
249081712,677459486,2330001246390,2050938046,2050938046
249101197,677461380,2330001358954,2063967155,2063967155
249092974,677460622,2330000382903,172267485,172267485
249074626,677458772,2330000028945,172884891,172884891
249078585,677459168,2330001174835,2044320127,2044320127
249067588,677458058,2330000085710,173622612,173622612
249101213,677461382,2330000649811,2037793273,2037793273
249074402,677458750,2330000687875,2025346133,172456945
249082157,677459530,2330000479728,175598683,175598683
249093170,677460642,2330000313155,176644715,176644715
249073560,677458666,2330000147850,177584540,177584540
249071887,677458498,2330001192582,2044905211,2044905211
249109554,677462280,2330000731366,172882460,172882460
249120361,677463361,2330000033995,2036320621,173014388
249110685,677462393,2330000645467,176489021,176489021
249095951,677460920,2330000577691,175871994,175871994
249070491,677458316,2330001434722,2066965771,2066965771
249091372,677460462,2330000070117,174744302,174744302
249079591,677459269,2330000661746,177315281,177315281
249077025,677459012,2330000606744,175798493,175798493
249075599,677458911,2330000152513,173107414,173107414
249101478,677461408,2330001201967,2043025883,2043025883
249090069,677460373,2330000912029,2008668760,2008668760
249079930,677459303,2330000739531,181289822,181289822
249069808,677458247,2330000224989,183490721,183490721
249070129,677458279,2330000670695,2031716258,174912733
249121088,677463433,2330000658873,172228908,172228908
249086588,677459983,2330000127700,300046815,300046815
249085911,677459916,2330000377284,174008857,174008857
249074824,677458792,2330000643010,176273025,176273025
249120460,677463371,2330000739531,181289822,181289822
249070194,677458286,2330000382903,172267485,172267485
249096835,677461008,2330000405982,2015365364,173664339
249082991,677459614,2330000682335,2039613672,2039613672
249071093,677458419,2330001077850,2039369829,2039369829
249089541,677460279,2330000355269,174514356,174514356
249123712,677463696,2330000352278,176914100,176914100
249088733,677460198,2330000185653,178771108,178771108
249099441,677461269,2330000671833,184195424,184195424
249089657,677460290,2330000638041,181898056,181898056
249083478,677459662,2330000679859,173289870,173289870
249089533,677460278,2330000167962,177898681,177898681
249100421,677461431,2330001077104,2039621267,2039621267
249090515,677460333,2330000340322,172117344,172117344
249079765,677459286,2330000587501,2023810756,174126299
249077462,677459056,2330000237368,172464727,172464727
249073776,677458687,2330001157641,2045500723,2045500723
249085515,677459876,2330000431940,173633028,173633028
249073966,677458706,2330000603789,173999291,173999291
249101148,677461375,2330000542167,172469399,172469399
249098864,677461147,2330001202663,2042626587,2042626587
249081290,677459439,2330000057061,177234999,177234999
249107020,677461963,2330000926426,2021155908,2021155908
249073115,677458621,2330000867569,2021413741,2021413741
249082942,677459609,2330000407762,174792111,174792111
249079104,677459220,2330000700131,175303046,175303046
249090135,677460380,2330001109738,2039511761,2039511761
