P_CBPID,P_SAMKEY,P_HHID,P_AUID
677461184,2330000018115,176224065,176224065
677461370,2330000224989,183490721,183490721
677463312,2330000739691,186491097,186491097
677461302,2330000237368,172464727,172464727
677461643,2330000938003,2008470338,2008470338
677462228,2330000658873,172228908,172228908
677458251,2330000686907,2008505165,2008505165
677458228,2330000224989,183490721,183490721
677459780,2330000244648,174814116,174814116
677463438,2330000327260,174688155,174688155
677463747,2330000713483,178162062,178162062
677462337,2330000667446,2027006666,173098203
677463735,2330000910076,183053267,183053267
677459129,2330000300574,178916001,178916001
677465174,2330000419463,172723770,172723770
677461460,2330000419463,172723770,172723770
677461529,2330000312281,173387443,173387443
677461575,2330000719045,175467803,175467803
677463241,2330000661746,177315281,177315281
677459308,2330000778630,2045486676,2045486676
677461501,2330000713483,178162062,178162062
677459452,2330001010016,2021247457,2021247457
677463871,2330000380877,172681227,172681227
677460930,2330000993665,2020023540,2020023540
677465567,2330001087030,2039542218,2039542218
677460428,2330000649393,2037738742,2037738742
677461497,2330000666370,175520830,175520830
677461789,2330000313155,176644715,176644715
677462024,2330000112150,172687346,172687346
677461330,2330000654374,179453595,179453595
677461093,2330001171891,2042603046,2042603046
677460934,2330000106837,176572392,176572392
677463171,2330000510601,177249410,177249410
677459954,2330000307073,172569137,172569137
677461633,2330000133604,172208598,172208598
677462014,2330000546592,175976693,175976693
677460613,2330000864537,2010588782,2010588782
677463807,2330000198150,173484463,173484463
677463820,2330000470024,173227897,173227897
677460492,2330000914724,2044301751,2044301751
677461758,2330000698920,2008744378,2008744378
677461312,2330000700778,178430589,178430589
677459671,2330000914724,2044301751,2044301751
677459908,2330000029262,175267016,175267016
677465482,2330001173644,2042733578,2042733578
677461430,2330000606744,175798493,175798493
677463123,2330000691969,178083391,178083391
677459786,2330000645467,176489021,176489021
677461823,2330000671916,178525323,178525323
677465274,2330000703359,176372928,176372928
677459600,2330000550910,173902656,173902656
677458683,2330000578808,174037564,174037564
677461398,2330000635528,177941236,177941236
677458799,2330001017184,2021740984,2021740984
677459005,2330000221326,2034748491,174039115
677463732,2330000313155,176644715,176644715
677467009,2330000867592,2015407640,2015407640
677460305,2330000731435,176846472,176846472
677461450,2330000867569,2021413741,2021413741
677459887,2330000941467,2008845513,2008845513
677462455,2330000690819,178051304,178051304
677460937,2330001254274,2045546740,2045546740
677459790,2330000561459,2014358174,2014358174
677461472,2330000227172,175431315,175431315
677460400,2330000128157,2008077595,2008077595
677461173,2330000636610,2008942995,173853299
677465321,2330000783135,2020463660,2020463660
677464531,2330000625476,300005562,300005562
677463324,2330000221326,2034748491,174039115
677459363,2330000347975,176230876,176230876
677461348,2330000731377,175955632,175955632
677464698,2330000217172,177411586,177411586
677460273,2330000783135,2020463660,2020463660
677463041,2330000299195,172856814,172856814
677459626,2330000807083,2009734061,2009734061
677466991,2330000649636,2037791941,2037791941
677459573,2330001174440,2044670365,2044670365
677461830,2330001017184,2021740984,2021740984
677461960,2330000915258,2010528510,2010528510
677465361,2330000696787,176215685,176215685
677462607,2330000029979,2033066564,175067204
677463424,2330000731435,176846472,176846472
677459658,2330001233506,2045431173,2045431173
677461915,2330000477376,2017594751,173441767
677462011,2330000941467,2008845513,2008845513
677459455,2330000760146,2009296134,2009296134
677464161,2330000913044,2009385124,2009385124
677459588,2330000430488,174471587,174471587
677460047,2330000371339,173914290,173914290
677462988,2330000578808,174037564,174037564
677460306,2330001087030,2039542218,2039542218
677463501,2330000128157,2008077595,2008077595
677461177,2330000030091,172519622,172519622
677457366,2330000663801,177336578,177336578
677458539,2330001050545,2045441022,2045441022
677460961,2330000303648,173207901,173207901
677458719,2330000926426,2021155908,2021155908
677467745,2330000352112,172207897,172207897
677460220,2330000023759,174338233,174338233
677461128,2330000259725,174138676,174138676
