P_FAID,P_CBPID,P_SAMKEY,P_HHID,P_AUID
249081514,677459461,2330000081005,173761573,173761573
249092743,677460599,2330000105876,173209249,173209249
249091406,677460465,2330000719184,189620380,189620380
249108176,677462078,2330000758474,172869841,172869841
249068172,677458117,2330000028945,172884891,172884891
249116500,677463039,2330000234274,2020890121,2020890121
249080177,677459327,2330000698920,2008744378,2008744378
249117425,677463131,2330001283264,2045457506,2045457506
249080623,677459372,2330000739447,2009917855,175174659
249086166,677459941,2330001132616,2039818860,2039818860
249075151,677458825,2330000305638,174504806,174504806
249067273,677458027,2330000148783,174076554,174076554
249070582,677458325,2330001194893,2045443891,2045443891
249105149,677462158,2330000514044,174669451,174669451
249081860,677459501,2330001192599,2044917755,2044917755
249076092,677458876,2330000671833,184195424,184195424
249119603,677463285,2330000573877,2020289293,2009275300
249100587,677461447,2330000352278,176914100,176914100
249112749,677462599,2330000411236,2020165248,2020165248
249117128,677463101,2330000104570,172525509,172525509
249117235,677463112,2330000217172,177411586,177411586
249106519,677461912,2330000563595,176545074,176545074
249121021,677463427,2330001380270,2064561232,2064561232
249075003,677458810,2330000150940,173831532,173831532
249121070,677463432,2330000739447,2009917855,175174659
249086737,677459998,2330000005888,172888113,172888113
249083072,677459622,2330000438076,174066880,174066880
249104894,677462133,2330000563867,2010796200,175666061
249081209,677459430,2330000913044,2009385124,2009385124
249117813,677463170,2330000458046,177182669,177182669
249073875,677458697,2330000548937,173189847,173189847
249085416,677459856,2330000661469,174272199,174272199
249099821,677461307,2330000419463,172723770,172723770
249080599,677459369,2330000144210,179420287,179420287
249081126,677459422,2330000654374,179453595,179453595
249073784,677458688,2330000770022,185052178,185052178
249091612,677460486,2330000148600,175527598,175527598
249093501,677460675,2330000029979,2033066564,175067204
249070913,677458401,2330000739691,186491097,186491097
249107566,677462017,2330000074918,2009420938,2009420938
249117136,677463102,2330000345350,172462662,172462662
249069006,677458210,2330000620556,180952843,180952843
249068792,677458189,2330000700912,183118529,183118529
249077108,677459020,2330000438076,174066880,174066880
249088592,677460184,2330000866799,2008604739,2008604739
249097015,677461026,2330000440644,173788639,173788639
249075698,677458921,2330000333076,2021401458,2021401458
249107558,677462016,2330000193714,175676990,175676990
249113366,677462661,2330000767435,174716789,174716789
249075375,677458847,2330000516863,176230163,176230163
249121047,677463429,2330000066724,172559434,172559434
249097445,677461069,2330000607637,177261202,177261202
249124264,677463751,2330001254382,2045089395,2045089395
249089038,677460228,2330001223245,2042968651,2042968651
249092784,677460603,2330000247723,2036688462,2036688462
249087032,677460028,2330000919771,172822540,172822540
249098278,677461215,2330000007453,172173522,172173522
249095159,677460840,2330000731466,177702062,177702062
249124892,677463819,2330000324332,173058815,173058815
249074147,677458724,2330000948055,2019823192,2019823192
249113333,677462658,2330000417540,174107274,174107274
249073248,677458634,2330000484619,176546025,176546025
249108747,677462199,2330000340290,174088711,174088711
249088667,677460191,2330000134410,172028282,172028282
249122284,677463552,2330000198939,173872410,173872410
249089681,677460293,2330000007453,172173522,172173522
249091844,677460509,2330000866799,2008604739,2008604739
249083890,677459704,2330000358364,172695654,172695654
249092792,677460604,2330000731435,176846472,176846472
249074790,677458789,2330000630079,2021676939,2021676939
249079492,677459259,2330000731566,184542861,184542861
249070954,677458405,2330000475427,173421724,173421724
249084542,677459769,2330000447379,173075305,173075305
249097700,677461095,2330000011362,175868261,175868261
249122409,677463564,2330000403179,173659870,173659870
249115890,677462914,2330000333076,2021401458,2021401458
249096603,677460985,2330000934775,2009156059,2009156059
249091257,677460450,2330000919213,2008631761,2008631761
249092164,677460541,2330001177738,2045404118,2045404118
249084880,677459803,2330000382075,177977586,176611367
249073586,677458668,2330000649442,2037738777,2037738777
249114661,677462791,2330000006820,176642140,176642140
249091364,677460461,2330000356599,2022851604,172968950
249102674,677461592,2330000649508,2037826468,2037826468
249076621,677458972,2330000649816,2037774764,2037774764
249093030,677460628,2330001173607,2042735521,2042735521
249076159,677458882,2330001132493,2039811985,2039811985
249085903,677459915,2330000739447,2009917855,175174659
249104480,677461773,2330000535986,172722022,172722022
249107038,677461964,2330001223245,2042968651,2042968651
249113515,677462676,2330001073332,2036177537,2036177537
249068412,677458141,2330000323541,175023316,175023316
249070061,677458273,2330000025173,173630866,173630866
249076902,677459000,2330000221326,2034748491,174039115
249088071,677460132,2330000544675,173177445,173177445
249117805,677463169,2330000663651,2020127949,2020127949
249081316,677459441,2330001018480,2035703102,2035703102
249073768,677458686,2330000630079,2021676939,2021676939
249072067,677458516,2330000934775,2009156059,2009156059
249084450,677459760,2330000134027,2031249155,177378376
