P_CBPID,P_SAMKEY,P_HHID,P_AUID
677466702,2330001126218,2019621228,2039568109
677464925,2330000382903,172267485,172267485
677462754,2330000234274,2020890121,2020890121
677465013,2330000352278,176914100,176914100
677465768,2330000736423,178130629,178130629
677459713,2330000125838,176028088,176028088
677462876,2330000356599,2022851604,172968950
677467325,2330000216277,172933945,172933945
677465958,2330000760101,172214528,172214528
677462439,2330000691156,176499292,176499292
677457888,2330000276356,178043967,178043967
677465406,2330000627226,175536978,175536978
677467749,2330000603789,173999291,173999291
677459618,2330000728707,177710161,177710161
677463505,2330000501713,174825469,174825469
677464562,2330000607631,175081389,175081389
677464932,2330000989503,2019338923,2019338923
677467962,2330000257715,174048186,174048186
677459903,2330001109746,2039609489,2039609489
677465119,2330000477376,2017594751,173441767
677465887,2330000105876,173209249,173209249
677465408,2330000136476,173152016,173152016
677467576,2330000440644,173788639,173788639
677460848,2330000542214,2035931174,173963918
677464333,2330000671032,2023900055,2023900055
677465458,2330000687174,2013547144,2013547144
677468406,2330000036678,173302495,173302495
677466932,2330001052231,2034373002,2034373002
677461153,2330000697605,181458879,181458879
677465842,2330000125838,176028088,176028088
677467190,2330000318716,176047723,176047723
677462563,2330000323541,175023316,175023316
677460429,2330001157564,2042436260,2042436260
677467859,2330000261285,177907602,177907602
677461932,2330001050281,2050613083,2050613083
677461427,2330000573877,2020289293,2009275300
677463394,2330000227172,175431315,175431315
677468034,2330000681736,2033897762,2021790489
677463808,2330000447443,176809417,176809417
677464528,2330000587501,2023810756,174126299
677468229,2330000089905,172012096,172012096
677464747,2330000237368,172464727,172464727
677468424,2330000124443,2035626813,2035626813
677461416,2330001217997,2044199830,2044199830
677463528,2330000208635,2019763647,2019763647
677462446,2330000030091,172519622,172519622
677468064,2330000611673,2019946371,172178797
677467070,2330000029979,2033066564,175067204
677464983,2330001256100,2043947649,2043947649
677461158,2330000408918,175157012,175157012
677467591,2330001031289,173026056,173026056
677468044,2330000554417,172642773,172642773
677464153,2330000340322,172117344,172117344
677468917,2330001176964,2045316045,2045316045
677462147,2330000681605,2016594590,172797278
677462961,2330000334108,174830756,174830756
677458846,2330000184048,174823435,174823435
677463768,2330000670695,2031716258,174912733
677463462,2330000204877,2016621253,175055410
677463275,2330000029262,175267016,175267016
677467685,2330000133845,172191944,172191944
677462367,2330000307073,172569137,172569137
677463733,2330000661481,2020203911,2020203911
677464346,2330000363266,175116897,175116897
677464380,2330000247723,2036688462,2036688462
677463516,2330000649393,2037738742,2037738742
677468135,2330001177153,2042859487,2042859487
677466448,2330000679862,173064096,173064096
677460532,2330000324624,2010153022,2010153022
677467879,2330000072089,2037759907,2037759907
677464228,2330000312281,173387443,173387443
677466602,2330000867569,2021413741,2021413741
677462892,2330001174440,2044670365,2044670365
677465941,2330000130709,175454083,175454083
677466418,2330000731466,177702062,177702062
677462498,2330000724104,2019408230,2019408230
677466881,2330000739531,181289822,181289822
677464363,2330000643604,173500815,173500815
677466230,2330000682335,2039613672,2039613672
677460659,2330000324332,173058815,173058815
677466502,2330000309314,176781760,176781760
677463874,2330000035236,172712809,172712809
677460790,2330000867608,2010139066,2010139066
677461527,2330000371339,173914290,173914290
677461363,2330000162156,174349082,174349082
677462760,2330000404880,2013398573,2013398573
677459653,2330000659746,177805935,177805935
677461349,2330000730898,2009263973,176063743
677461956,2330000766747,177766799,177766799
677466842,2330000968162,174847019,174847019
677460259,2330000622007,172397468,172397468
677467213,2330000630079,2021676939,2021676939
677459514,2330000713285,177383121,177383121
677462637,2330000625476,300005562,300005562
677465855,2330001118795,2039257324,2039257324
677468060,2330001079649,172782085,172782085
677464697,2330000730872,2021472222,2021472222
677466169,2330000104570,172525509,172525509
677462893,2330000659722,175115743,175115743
677464912,2330000384471,175730174,175730174
