P_CBPID,P_SAMKEY,P_HHID,P_AUID
677463893,2330000390759,177091085,177091085
677466897,2330000546592,175976693,175976693
677465269,2330001267739,2045572195,2045572195
677464379,2330000661469,174272199,174272199
677466636,2330000948055,2019823192,2019823192
677461418,2330000620060,179858802,179858802
677468134,2330000737231,175534777,175534777
677465029,2330000766168,172506174,172506174
677463646,2330000006820,176642140,176642140
677464155,2330000006820,176642140,176642140
677465092,2330000206751,174981978,174981978
677467321,2330000113091,174550757,174550757
677467004,2330000766168,172506174,172506174
677468691,2330000590917,172132706,172132706
677464535,2330001138906,2042390038,2042390038
677468428,2330001174440,2044670365,2044670365
677461807,2330000407762,174792111,174792111
677466065,2330000380877,172681227,172681227
677465132,2330000266622,183134808,183134808
677461288,2330000206751,174981978,174981978
677466834,2330000516863,176230163,176230163
677463597,2330000671833,184195424,184195424
677465227,2330000313155,176644715,176644715
677461540,2330001109738,2039511761,2039511761
677467022,2330000663801,177336578,177336578
677460852,2330000318716,176047723,176047723
677467265,2330001133675,2042832429,2042832429
677465591,2330001201967,2043025883,2043025883
677463077,2330000671189,177609106,177609106
677467368,2330000606744,175798493,175798493
677462575,2330001109746,2039609489,2039609489
677460648,2330000024652,174116383,174116383
677465783,2330001267739,2045572195,2045572195
677463138,2330000637481,177783240,177783240
677461296,2330001201631,2045387398,2045387398
677463406,2330000319435,176247567,176247567
677467000,2330000105876,173209249,173209249
677466026,2330000550910,173902656,173902656
677466028,2330000782279,2019369988,2019369988
677463993,2330000932566,2020637571,2020637571
677463972,2330000535986,172722022,172722022
677467837,2330001077850,2039369829,2039369829
677465883,2330000546592,175976693,175976693
677465097,2330001018480,2035703102,2035703102
677466639,2330000364515,180549316,180549316
677466255,2330000684786,2021867169,2021867169
677467949,2330001134236,2042884713,2042884713
677467076,2330001122940,2039468850,2039468850
677465075,2330000478331,181713730,181713730
677466788,2330000256877,178121575,178121575
677460778,2330000679819,173278848,173278848
677465658,2330000605381,2009142206,177239083
677464823,2330001040488,2024177494,2024177494
677463657,2330000477376,2017594751,173441767
677465324,2330001017184,2021740984,2021740984
677467867,2330000112150,172687346,172687346
677466039,2330001344746,2064925416,2064925416
677464322,2330000590917,172132706,172132706
677464352,2330000926712,2017500472,2017500472
677464455,2330000036678,173302495,173302495
677468813,2330000070117,174744302,174744302
677463853,2330000643010,176273025,176273025
677466450,2330001380270,2064561232,2064561232
677463911,2330000739691,186491097,186491097
677464071,2330001031582,2024073125,2024073125
677463651,2330000143089,175085983,175085983
677464187,2330000739447,2009917855,175174659
677468066,2330000185223,172171902,172171902
677467381,2330000673402,300115793,300115793
677466738,2330001081522,2042786071,2042786071
677460980,2330000345350,172462662,172462662
677465118,2330001081522,2042786071,2042786071
677464549,2330000268404,174630012,174630012
677463520,2330000649816,2037774764,2037774764
677465575,2330000059864,172049605,172049605
677461793,2330000204877,2016621253,175055410
677464040,2330000363266,175116897,175116897
677466691,2330000663801,177336578,177336578
677463859,2330000776097,2020565402,2020565402
677460765,2330000055183,175999995,175999995
677467365,2330000989503,2019338923,2019338923
677468632,2330000382075,177977586,176611367
677460717,2330000649811,2037793273,2037793273
677462444,2330000752684,174708918,174708918
677460720,2330001344746,2064925416,2064925416
677465466,2330000587501,2023810756,174126299
677465033,2330001194893,2045443891,2045443891
677462813,2330000074918,2009420938,2009420938
677463399,2330001380270,2064561232,2064561232
677464981,2330000185441,2016347132,2016347132
677461413,2330000517185,173692076,173692076
677464410,2330000247723,2036688462,2036688462
677468315,2330000018115,176224065,176224065
677467488,2330000635528,177941236,177941236
677463335,2330000606744,175798493,175798493
677467646,2330000915815,2037096495,2037096495
677462376,2330001122940,2039468850,2039468850
677465937,2330000377284,174008857,174008857
677460655,2330000144210,179420287,179420287
677464722,2330000699622,175847368,2037825163
