P_FAIDS,P_CBPID,P_Samkey,P_HHID,P_AUID
248820672,677423757,2330000517185,173692076,173692076
248822819,677424215,2330000517185,173692076,173692076
248824252,677424359,2330000517185,173692076,173692076
248824450,677424379,2330000517185,173692076,173692076
248824948,677424414,2330000517185,173692076,173692076
248826380,677424572,2330000687723,176505437,176505437
248826521,677424586,2330000517185,173692076,173692076
248826885,677424629,2330000517185,173692076,173692076
248828261,677424767,2330001177780,2042649244,2042649244
248828840,677424825,2330000133351,2021624902,2021624902
248828907,677424831,2330000198939,173872410,173872410
248829699,677424910,2330000517185,173692076,173692076
248830218,677424948,2330000517185,173692076,173692076
248830358,677424962,2330000535986,172722022,172722022
248830499,677424976,2330001362908,2045336040,2045336040
248830614,677424988,2330000563595,176545074,176545074
248830747,677425001,2330000517185,173692076,173692076
248831851,677425133,2330000517185,173692076,173692076
248831877,677425135,2330000920422,2008244185,2008244185
248832792,677425227,2330000517185,173692076,173692076
248833139,677425289,2330000682044,2008284521,2008284521
248833717,677425347,2330000517185,173692076,173692076
248835167,677425512,2330000517185,173692076,173692076
248836025,677425578,2330000747196,177044532,177044532
248836173,677425593,2330001223245,2042968651,2042968651
248836736,677425649,2330000006820,176642140,176642140
248837296,677425705,2330000517185,173692076,173692076
248837619,677425876,2330000068200,172761810,172761810
248838203,677425776,2330000140303,177204008,177204008
248838260,677425782,2330000162156,174349082,174349082
248838971,677425853,2330000224989,183490721,183490721
248839094,677425885,2330000517185,173692076,173692076
248839391,677425915,2330000517185,173692076,173692076
248839482,677425924,2330000051845,2021226239,2021226239
248839904,677425973,2330000590917,172132706,172132706
248840274,677426010,2330000517185,173692076,173692076
248841439,677426140,2330000224989,183490721,183490721
248842635,677426247,2330000517185,173692076,173692076
248843112,677426315,2330000517185,173692076,173692076
248843393,677426343,2330000758695,2009107150,2009107150
248845737,677426577,2330000517185,173692076,173692076
248846792,677426683,2330000517185,173692076,173692076
248823635,677424297,2330000517185,173692076,173692076
248823676,677424301,2330000403179,173659870,173659870
248824104,677424344,2330001127594,2039593797,2039593797
248824237,677424357,2330000719045,175467803,175467803
248824344,677424368,2330000517185,173692076,173692076
248825127,677424446,2330000517185,173692076,173692076
248825853,677424519,2330000517185,173692076,173692076
248826174,677424551,2330000517185,173692076,173692076
248826190,677424553,2330000517185,173692076,173692076
248826455,677424579,2330000517185,173692076,173692076
248826604,677424594,2330000517185,173692076,173692076
248826778,677424611,2330000517185,173692076,173692076
248827065,677424647,2330001077104,2039621267,2039621267
248827214,677424662,2330000517185,173692076,173692076
248827610,677424702,2330000586228,175090801,175090801
248827958,677424736,2330000517185,173692076,173692076
248828006,677424741,2330000517185,173692076,173692076
248828170,677424758,2330000517185,173692076,173692076
248828188,677424759,2330000563595,176545074,176545074
248828329,677424773,2330000517185,173692076,173692076
248828774,677424818,2330000517185,173692076,173692076
248829038,677424844,2330001134236,2042884713,2042884713
248829863,677424927,2330000517185,173692076,173692076
248830135,677425076,2330001414579,2064844694,2064844694
248830523,677424979,2330000517185,173692076,173692076
248833022,677425250,2330000517185,173692076,173692076
248833501,677425326,2330000671032,2023900055,2023900055
248833592,677425335,2330000130709,175454083,175454083
248834434,677425419,2330000357746,172583563,172583563
248835977,677425573,2330000517185,173692076,173692076
248836090,677425585,2330000517185,173692076,173692076
248836181,677425594,2330000517185,173692076,173692076
248837072,677425683,2330000128157,2008077595,2008077595
248837148,677425690,2330000517185,173692076,173692076
248837577,677425872,2330000649393,2037738742,2037738742
248838062,677425762,2330000139722,2026023023,2026023023
248838591,677425815,2330000517185,173692076,173692076
248839896,677425972,2330000968162,174847019,174847019
248840555,677426038,2330000403179,173659870,173659870
248840894,677426072,2330000007453,172173522,172173522
248841181,677426108,2330000333076,2021401458,2021401458
248841199,677426109,2330000517185,173692076,173692076
248842320,677426293,2330000517185,173692076,173692076
248842361,677426297,2330000696787,176215685,176215685
248843161,677426320,2330000517185,173692076,173692076
248822173,677424151,2330000517185,173692076,173692076
248822363,677424170,2330000920422,2008244185,2008244185
248824328,677424366,2330000517185,173692076,173692076
248825747,677424508,2330001254274,2045546740,2045546740
248826513,677424585,2330000517185,173692076,173692076
248827297,677424670,2330000517185,173692076,173692076
248827966,677424737,2330000517185,173692076,173692076
248828022,677424743,2330000664155,174528213,174528213
248828063,677424747,2330000517185,173692076,173692076
248828287,677424769,2330000517185,173692076,173692076
248828873,677424828,2330000517185,173692076,173692076
248830036,677424944,2330000578808,174037564,174037564
248830051,677424946,2330001173961,2042783355,2042783355
248830184,677425081,2330000128157,2008077595,2008077595
248830671,677424994,2330000487499,175631690,175631690
248831182,677425045,2330000586549,172728250,172728250
248831190,677425046,2330000517185,173692076,173692076
248831844,677425132,2330000517185,173692076,173692076
248833287,677425304,2330001127594,2039593797,2039593797
248834293,677425405,2330000133351,2021624902,2021624902
248835563,677425532,2330000517185,173692076,173692076
248835605,677425536,2330000743212,178249132,178249132
248836041,677425580,2330000517185,173692076,173692076
248837098,677425685,2330000517185,173692076,173692076
248837155,677425691,2330000105876,173209249,173209249
248838898,677425845,2330000517185,173692076,173692076
248839474,677425923,2330000133351,2021624902,2021624902
248840084,677425991,2330000517185,173692076,173692076
248840951,677426078,2330000661469,174272199,174272199
248841819,677426185,2330000517185,173692076,173692076
248842403,677426301,2330000517185,173692076,173692076
248843138,677426317,2330000484619,176546025,176546025
248844540,677426458,2330000517185,173692076,173692076
248848533,677426857,2330000517185,173692076,173692076
248849119,677426915,2330000517185,173692076,173692076
248819120,677423675,2330000517185,173692076,173692076
248824088,677424342,2330000303648,173207901,173207901
248824625,677424396,2330000696730,176597484,176597484
248825002,677424434,2330001157648,2044872947,2044872947
248825135,677424447,2330000517185,173692076,173692076
248825184,677424452,2330000517185,173692076,173692076
248825432,677424477,2330000517185,173692076,173692076
248826182,677424552,2330000352278,176914100,176914100
248826299,677424563,2330000276356,178043967,178043967
248826620,677424596,2330000517185,173692076,173692076
248827727,677424713,2330000705104,2020092293,2020092293
248829327,677424873,2330000393219,181491270,181491270
248829335,677424874,2330000517185,173692076,173692076
248829681,677424909,2330000517185,173692076,173692076
248829921,677424933,2330001041713,2024611612,2024611612
248830804,677425007,2330000184048,174823435,174823435
248831463,677425094,2330000517185,173692076,173692076
248831646,677425112,2330000517185,173692076,173692076
248832073,677425155,2330000674206,174593215,174593215
248832255,677425173,2330000115150,172235583,172235583
248832552,677425203,2330000517185,173692076,173692076
248834608,677425436,2330000517185,173692076,173692076
248834681,677425444,2330000139722,2026023023,2026023023
248834962,677425472,2330000665624,2018729132,2018729132
248836314,677425607,2330000517185,173692076,173692076
248837254,677425701,2330000671486,176586944,176586944
248837841,677425740,2330001071693,2036786298,2036348951
248838377,677425793,2330000517185,173692076,173692076
248838385,677425794,2330000517185,173692076,173692076
248838435,677425799,2330000136476,173152016,173152016
248838641,677425820,2330000517185,173692076,173692076
248840506,677426033,2330001163263,2044341405,2044341405
248842023,677426206,2330000517185,173692076,173692076
248842122,677426216,2330001042011,2024680299,2024680299
248847352,677426739,2330001005942,2020893968,2020893968
248848830,677426887,2330000517185,173692076,173692076
248822165,677424150,2330000517185,173692076,173692076
248823247,677424258,2330000517185,173692076,173692076
248823262,677424260,2330000517185,173692076,173692076
248823627,677424296,2330000517185,173692076,173692076
248824203,677424354,2330000517185,173692076,173692076
248824351,677424369,2330000561459,2014358174,2014358174
248825150,677424449,2330000517185,173692076,173692076
248825325,677424466,2330000697601,174963939,174963939
248825663,677424500,2330000691969,178083391,178083391
248825929,677424526,2330000517185,173692076,173692076
248826489,677424582,2330000682044,2008284521,2008284521
248827602,677424701,2330000725935,2008473031,2008473031
248827859,677424726,2330000517185,173692076,173692076
248828386,677424779,2330000517185,173692076,173692076
248829186,677424859,2330000517185,173692076,173692076
248829368,677424877,2330000517185,173692076,173692076
248829665,677424907,2330000517185,173692076,173692076
248829780,677424919,2330000517185,173692076,173692076
248830226,677424949,2330000517185,173692076,173692076
248830382,677424965,2330000517185,173692076,173692076
248830598,677424986,2330001122940,2039468850,2039468850
248830945,677425021,2330000517185,173692076,173692076
248831521,677425100,2330000517185,173692076,173692076
248831711,677425119,2330000517185,173692076,173692076
248832941,677425242,2330000133604,172208598,172208598
248834145,677425390,2330001206707,2044882386,2044882386
248834715,677425447,2330000771353,2030537174,2030537174
248835092,677425505,2330000517185,173692076,173692076
248835589,677425534,2330000637481,177783240,177783240
248837056,677425681,2330000728707,177710161,177710161
248837114,677425687,2330000319435,176247567,176247567
248837932,677425749,2330000307073,172569137,172569137
248839169,677425892,2330000517185,173692076,173692076
248839292,677425905,2330000517185,173692076,173692076
248839722,677425948,2330000517185,173692076,173692076
248840050,677425988,2330000324624,2010153022,2010153022
248840480,677426031,2330000517185,173692076,173692076
248841025,677426085,2330000274122,2008159370,2008159370
248841033,677426086,2330000517185,173692076,173692076
248851701,677427145,2330000691156,176499292,176499292
248824484,677424382,2330000517185,173692076,173692076
248824617,677424395,2330000517185,173692076,173692076
248825010,677424435,2330000517185,173692076,173692076
248825275,677424461,2330000517185,173692076,173692076
248826265,677424560,2330000185653,178771108,178771108
248826547,677424588,2330000517185,173692076,173692076
248827016,677424642,2330000665944,172113865,172113865
248827719,677424712,2330000517185,173692076,173692076
248828030,677424744,2330001177780,2042649244,2042649244
248829756,677424916,2330000758474,172869841,172869841
248829814,677424922,2330000517185,173692076,173692076
248830259,677424952,2330000033995,2036320621,173014388
248830630,677424990,2330001233246,2044696888,2044696888
248830960,677425023,2330000165412,176474824,176474824
248833014,677425249,2330000517185,173692076,173692076
248833071,677425283,2330000517185,173692076,173692076
248834020,677425378,2330000517185,173692076,173692076
248834491,677425425,2330000517185,173692076,173692076
248834590,677425435,2330001380270,2064561232,2064561232
248835415,677425497,2330000737231,175534777,175534777
248835456,677425521,2330000867592,2015407640,2015407640
248836397,677425615,2330000125385,178716300,178716300
248836652,677425641,2330001413123,2064576676,2064576676
248836827,677425658,2330000517185,173692076,173692076
248837163,677425692,2330000517185,173692076,173692076
248837320,677425708,2330000133351,2021624902,2021624902
248837700,677425726,2330001050545,2045441022,2045441022
248838948,677425850,2330000165412,176474824,176474824
248839029,677425858,2330000310381,2020607841,2020607841
248840183,677426001,2330000337382,174894669,174894669
248840209,677426003,2330000517185,173692076,173692076
248840746,677426057,2330000006820,176642140,176642140
248840787,677426061,2330000517185,173692076,173692076
248842312,677425083,2330000517185,173692076,173692076
248842817,677426265,2330000649508,2037826468,2037826468
248843427,677426346,2330000731366,172882460,172882460
248821274,677423807,2330000517185,173692076,173692076
248822918,677424225,2330000517185,173692076,173692076
248823460,677424280,2330000517185,173692076,173692076
248824211,677424355,2330000517185,173692076,173692076
248824872,677424407,2330000342825,172705245,172705245
248826059,677424539,2330001122941,2039629931,2039629931
248827495,677424690,2330001123044,2039434355,2039434355
248828121,677424753,2330000517185,173692076,173692076
248829160,677424857,2330000517185,173692076,173692076
248829558,677424896,2330000776097,2020565402,2020565402
248830325,677424959,2330000586549,172728250,172728250
248830481,677424975,2330000517185,173692076,173692076
248831489,677425096,2330000517185,173692076,173692076
248831893,677425137,2330000914724,2044301751,2044301751
248832156,677425163,2330000517185,173692076,173692076
248832248,677425172,2330000630325,2012918008,2012918008
248832826,677425230,2330000681819,2020157211,2020157211
248833790,677425355,2330000380877,172681227,172681227
248833964,677425372,2330000517185,173692076,173692076
248834392,677425415,2330000517185,173692076,173692076
248834616,677425437,2330000517185,173692076,173692076
248834848,677425460,2330000760146,2009296134,2009296134
248834863,677425462,2330001173961,2042783355,2042783355
248835209,677425516,2330000517185,173692076,173692076
248835225,677425518,2330000127700,300046815,300046815
248835811,677425557,2330000517185,173692076,173692076
248836835,677425659,2330000340348,177694850,177694850
248837387,677425714,2330000403179,173659870,173659870
248837502,677425865,2330000517185,173692076,173692076
248837726,677425728,2330000517185,173692076,173692076
248838070,677425763,2330000148783,174076554,174076554
248838831,677425839,2330000457083,173243875,173243875
248839086,677425884,2330000319435,176247567,176247567
248840100,677425993,2330000172793,174712760,174712760
248842080,677426212,2330000649393,2037738742,2037738742
248842098,677426213,2330000517185,173692076,173692076
248842338,677426294,2330000172793,174712760,174712760
248843179,677426321,2330000517185,173692076,173692076
248852287,677427203,2330000517185,173692076,173692076
248820276,677423717,2330000517185,173692076,173692076
248823619,677424295,2330000148783,174076554,174076554
248823759,677424309,2330000517185,173692076,173692076
248824997,677424433,2330000517185,173692076,173692076
248825101,677424444,2330000517185,173692076,173692076
248825671,677424501,2330000564761,2023071560,2023071560
248827073,677424648,2330000290155,177199204,177199204
248829210,677424862,2330000517185,173692076,173692076
248829608,677424901,2330000030091,172519622,172519622
248830093,677425072,2330000115150,172235583,172235583
248830101,677425073,2330000528231,174776003,174776003
248830333,677424960,2330000517185,173692076,173692076
248831612,677425109,2330000300574,178916001,178916001
248833121,677425288,2330000517185,173692076,173692076
248834525,677425428,2330000517185,173692076,173692076
